"Wallet Address","Tier","Tier Deposit Limit (VPND)","Deposited VPND","Wallet Points","Combined Points","VAPE Claimed","VAPE Value (USD)","Original Fee (USD)","Dynamic Fee (USD)","Original ROI (x)","Dynamic ROI (x)","Original Profit/Loss (USD)","Dynamic Profit/Loss (USD)","Original Profitable?","Dynamic Profitable?"
"0xb264e63d5c3dc94a1fde625acff2d8b2ba684b8a","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x9de1925269f2c68a2a570647ecb170fc245db448","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x8814391f0ecd57dc32166e42abfcbfb92db4b04a","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x77f62b2dd47520f0e29663c8f208a40682202936","0","5,000","5,000","150,000","150,000","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x69ee2db83fe529e1f3b684ace265dc9e8f3cda89","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x28d1c97a2c7e3e0698a06a814a4a9e1047cfc253","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x0dcaa84602bdc605eaf5667f784266d20a7f91f2","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x0bb4b0bf8d1dd7621f493f1a68ad0887d4e5b478","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x6bbe2a84895ca675b2bf8d3633e25118c12ef912","0","5,000","5,000","145,110","145,000","0.7748","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xb555009df0dd3ba8e5c9ae74018dc16f3a14ecf3","0","5,000","5,000","145,000","0","0.7742","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x9c4b88fbe06b6b1e461d9d294ecb7fb0c841db4f","0","5,000","5,000","145,000","0","0.7742","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x93fe43db40c997ae784143f060032db16293d93f","0","5,000","5,000","145,000","0","0.7742","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x6713ea196a67ddf7e698e0cbe9225b3649cd7431","0","5,000","5,000","145,000","0","0.7742","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xa61b22be6d93b2ddc184861a0d780acf7d4abaa3","0","5,000","5,000","135,000","243,001.78","0.7208","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x1e050ca02787ab13d2006c9f06801789546a9eda","0","5,000","5,000","135,000","0","0.7208","0.12","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x68cb5757bcde51b25b936abcd4c4b02a6cfc2b2a","0","5,000","4,902","132,354","0","0.7067","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x3a50759e226d96f01d11e866e783553367f7ae66","0","5,000","5,000","130,000","0","0.6941","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x3208ca0f0d105082e0d7ba0d5a6158b0b190e08d","0","5,000","5,000","130,000","0","0.6941","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xd00ca4dea8adac3925e7695efd7015aafea898c8","0","5,000","4,392","128,915.51","128,675.72","0.6883","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xe470c6e98382b5e1337c424e2f29eb44194c18dc","0","5,000","5,000","125,000","0","0.6674","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xb06ee8f2b79d179ae004c2437614d56defba6eb8","0","5,000","5,000","125,000","0","0.6674","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x190a184701a3ab4d50375f3f443a205a4e147949","0","5,000","5,000","125,000","0","0.6674","0.11","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x1b444446ec828a5cdc8f4c2ab92a9a0df2095fae","0","5,000","5,000","120,020","120,000","0.6408","0.10","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xe832d1f23bcc355cfadc5950c3edcc210d91fa45","0","5,000","3,777.58","113,327.45","0","0.6051","0.10","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
